case	artifact	baseline_bytes	candidate_bytes	added_bytes	maximum_added_bytes	status
no-long	qbe	32220	32220	0	4096	pass
no-long	executable	50936	50936	0	1024	pass
long	qbe	40362	40362	0	4096	pass
long	executable	50952	50952	0	1024	pass
