case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	baseline	11	11	5.45452	5.45232	1212416	pass
spectral-norm	candidate	11	11	5.18187	5.1795	1204224	pass
