case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
spectral-norm	baseline	walltime	5.45452	5.457728223999993	1.000588	2.00	pass
spectral-norm	baseline	cputime	5.45232	5.455437	1.000572	2.00	pass
spectral-norm	baseline	memory	1212416	1392640	1.148649	2.00	pass
spectral-norm	candidate	walltime	5.18187	5.18373379600007	1.000360	2.00	pass
spectral-norm	candidate	cputime	5.1795	5.179936	1.000084	2.00	pass
spectral-norm	candidate	memory	1204224	1359872	1.129252	2.00	pass
