round,warmup,role,case,stage,input,wallSeconds,cpuSeconds,peakRssBytes,artifactBytes,artifactSha256,stdoutSha256
1,True,candidate,n-body,build,1000000,0.15748425014317036,0.14,39288832,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
1,True,candidate,n-body,runtime,1000000,0.4704419169574976,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
1,True,candidate,compiler,self-build,,1.7515640838537365,1.67,40501248,365768,58afb9f33bcefecf863794d85c5c3126490ee91aa39e7c4bc2f6c5674fa160b6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
1,True,cumulative,spectral-norm,build,5500,0.13269587489776313,0.1,39321600,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
1,True,cumulative,spectral-norm,runtime,5500,2.361967333126813,2.17,2441216,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
1,True,cumulative,n-body,build,1000000,0.15807291702367365,0.11,39419904,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
1,True,cumulative,n-body,runtime,1000000,0.26158129214309156,0.1,1409024,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
1,True,cumulative,compiler,self-build,,1.6146707080770284,1.5599999999999998,40271872,349240,ed16ad3c638a9aa4dba5bb19fb4ef5b5a15ef129a0422d4421be5792357dfb9c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2,False,candidate,spectral-norm,build,5500,0.12954883300699294,0.1,39452672,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2,False,candidate,spectral-norm,runtime,5500,2.354415124980733,2.17,2424832,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
2,False,candidate,n-body,build,1000000,0.1571546250488609,0.11,39419904,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2,False,candidate,n-body,runtime,1000000,0.46630233293399215,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
2,False,candidate,compiler,self-build,,1.675455667078495,1.64,40239104,365768,58afb9f33bcefecf863794d85c5c3126490ee91aa39e7c4bc2f6c5674fa160b6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2,False,cumulative,spectral-norm,build,5500,0.13281220896169543,0.12,39354368,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2,False,cumulative,spectral-norm,runtime,5500,2.4698801250196993,2.23,2441216,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
2,False,cumulative,n-body,build,1000000,0.14635337493382394,0.13,39600128,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2,False,cumulative,n-body,runtime,1000000,0.27799258287996054,0.1,1409024,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
2,False,cumulative,compiler,self-build,,1.5965155409649014,1.5699999999999998,40697856,349240,ed16ad3c638a9aa4dba5bb19fb4ef5b5a15ef129a0422d4421be5792357dfb9c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2,False,control,spectral-norm,build,5500,0.13487549987621605,0.11,39698432,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2,False,control,spectral-norm,runtime,5500,2.385774000082165,2.2,2424832,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
2,False,control,n-body,build,1000000,0.1678827500436455,0.12,39567360,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2,False,control,n-body,runtime,1000000,0.47256574989296496,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
2,False,control,compiler,self-build,,1.6572127500548959,1.6199999999999999,40665088,349256,d9495f0a02c7459d2157c251f76bfe1f01aa3cc64a84cb25962211fead038f7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
3,False,cumulative,spectral-norm,build,5500,0.12931500002741814,0.11,39682048,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
3,False,cumulative,spectral-norm,runtime,5500,2.3734596672002226,2.19,2441216,50984,f21210399e94e814b129d18e03434f2abbcefa1fd450eed5a09b270c1e296175,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
3,False,cumulative,n-body,build,1000000,0.15570370806381106,0.13,39518208,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
3,False,cumulative,n-body,runtime,1000000,0.2733652910683304,0.1,1409024,50984,295391e4a1a0468360a78cf03128f681d1f29fcc6ee4eb62ad9cfd7b6ffeede9,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
3,False,cumulative,compiler,self-build,,1.5915758751798421,1.5599999999999998,40419328,349240,ed16ad3c638a9aa4dba5bb19fb4ef5b5a15ef129a0422d4421be5792357dfb9c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
3,False,control,spectral-norm,build,5500,0.14075770904310048,0.11,39485440,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
3,False,control,spectral-norm,runtime,5500,2.3947059579659253,2.1799999999999997,2441216,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb
3,False,control,n-body,build,1000000,0.15256295795552433,0.12,39583744,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
3,False,control,n-body,runtime,1000000,0.46611912501975894,0.3,1392640,50984,365e5daf3fde0176e2be0fb5abbc8a68299b4ef7c9a548df937ca77ca1383f35,3fb938822f2b87322baee13eea59620bab076cca553f7e01214dbc674bd09387
3,False,control,compiler,self-build,,1.6478019999340177,1.6099999999999999,40353792,349256,d9495f0a02c7459d2157c251f76bfe1f01aa3cc64a84cb25962211fead038f7c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
3,False,candidate,spectral-norm,build,5500,0.13524087495170534,0.11,39796736,50984,713a2aac1769f71881488e8685c11847f7eeda306141d0c017b3feb992fd58ad,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
