label,wall_precise,status,stdout_sha256,wall,cpu,rss,phase,round,role,kind,case,size
candidate-spectral-build,0.13455533306114376,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.1,39190528,warmup,2,candidate,app-build,spectral,50984
baseline-spectral-build,0.14117329102009535,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.13,0.11,39665664,warmup,2,baseline,app-build,spectral,50984
same_feature-spectral-100,0.016802832949906588,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.0,0.0,1474560,warmup,2,same_feature,runtime,spectral100,
candidate-spectral-100,0.019015166210010648,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.01,0.0,1474560,warmup,2,candidate,runtime,spectral100,
baseline-spectral-100,0.01944454200565815,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.01,0.0,1474560,warmup,2,baseline,runtime,spectral100,
same_feature-spectral-5500,2.218407917069271,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.2,2.19,2441216,warmup,2,same_feature,runtime,spectral5500,
candidate-spectral-5500,2.220377874793485,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.21,2.1799999999999997,2441216,warmup,2,candidate,runtime,spectral5500,
baseline-spectral-5500,2.2366919580381364,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.22,2.19,2441216,warmup,2,baseline,runtime,spectral5500,
same_feature-integer-build,0.12884279200807214,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.1,39059456,warmup,2,same_feature,app-build,integer,50952
candidate-integer-build,0.12501670909114182,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39337984,warmup,2,candidate,app-build,integer,50952
baseline-integer-build,0.10548479203134775,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.09,0.1,39829504,warmup,2,baseline,app-build,integer,50952
same_feature-integer-,0.07620787504129112,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.06,0.06,2260992,warmup,2,same_feature,runtime,integer,
candidate-integer-,0.07992562488652766,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.07,0.06,2260992,warmup,2,candidate,runtime,integer,
baseline-integer-,0.07983874995261431,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.07,0.06,2260992,warmup,2,baseline,runtime,integer,
same_feature-float-build,0.1244018750730902,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39452672,warmup,2,same_feature,app-build,float,50952
candidate-float-build,0.11930633382871747,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39714816,warmup,2,candidate,app-build,float,50952
baseline-float-build,0.12428962509147823,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39747584,warmup,2,baseline,app-build,float,50952
same_feature-float-,0.06971770897507668,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,warmup,2,same_feature,runtime,float,
candidate-float-,0.07098329206928611,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,warmup,2,candidate,runtime,float,
baseline-float-,0.07099412498064339,0,420002158111bff8adb3347d84029e480f45e60e1869b454b6adac3345f9f7d4,0.06,0.05,1409024,warmup,2,baseline,runtime,float,
baseline-self-build,1.6179427502211183,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.6,1.5699999999999998,40042496,retained,1,baseline,self-build,compiler,349240
same_feature-self-build,1.9644748750142753,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.95,1.69,40452096,retained,1,same_feature,self-build,compiler,349256
candidate-self-build,1.70794841600582,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1.7,1.66,40697856,retained,1,candidate,self-build,compiler,349256
baseline-spectral-build,0.12206358299590647,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.11,39796736,retained,1,baseline,app-build,spectral,50984
same_feature-spectral-build,0.12977366684935987,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.1,39583744,retained,1,same_feature,app-build,spectral,50984
candidate-spectral-build,0.12889420799911022,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.12,0.1,40058880,retained,1,candidate,app-build,spectral,50984
baseline-spectral-100,0.018521583871915936,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.01,0.0,1474560,retained,1,baseline,runtime,spectral100,
same_feature-spectral-100,0.018638874869793653,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.01,0.0,1507328,retained,1,same_feature,runtime,spectral100,
candidate-spectral-100,0.01733016688376665,0,a95e11fa07f7b196ef488e73f67afbbbc16cf6a2c6de5f8d54ea49821fe604e6,0.0,0.0,1474560,retained,1,candidate,runtime,spectral100,
baseline-spectral-5500,2.207104332977906,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.2,2.1799999999999997,2441216,retained,1,baseline,runtime,spectral5500,
same_feature-spectral-5500,2.2150669579859823,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.2,2.1799999999999997,2441216,retained,1,same_feature,runtime,spectral5500,
candidate-spectral-5500,2.223463709000498,0,f9d5b5e3eb7657cf1bbba4cc856651864df9cd9fd9a6be9b9bc5fcbb67150deb,2.21,2.19,2424832,retained,1,candidate,runtime,spectral5500,
baseline-integer-build,0.1251327081117779,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.09,39337984,retained,1,baseline,app-build,integer,50952
same_feature-integer-build,0.11932175001129508,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.09,39600128,retained,1,same_feature,app-build,integer,50952
candidate-integer-build,0.11955370893701911,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0.11,0.1,39731200,retained,1,candidate,app-build,integer,50952
baseline-integer-,0.0763242500834167,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.06,0.06,2260992,retained,1,baseline,runtime,integer,
same_feature-integer-,0.08196762506850064,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.07,0.06,2260992,retained,1,same_feature,runtime,integer,
candidate-integer-,0.08025491703301668,0,9fd097355fb6760a1f6b0a5ebb7648aff35896da9dccaeea40e03f72eaa94ece,0.07,0.06,2260992,retained,1,candidate,runtime,integer,
