case	metric	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
fannkuch-redux	walltime	1.08757	1.03652	0.953060	0.97	pass
fannkuch-redux	cputime	1.08533	1.03462	0.953277	0.97	pass
