case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
fannkuch-redux	baseline	11	11	1.08757	1.08533	438272	pass
fannkuch-redux	candidate	11	11	1.03652	1.03462	438272	pass
