stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,1.06,64442368,0
b3-b4,1,1.05,64577536,0
b2-b3,2,1.05,64393216,0
b3-b4,2,1.06,64368640,0
b2-b3,3,1.06,64499712,0
b3-b4,3,1.06,64368640,0
b2-b3,4,1.06,64442368,0
b3-b4,4,1.05,64397312,0
b2-b3,5,1.06,64348160,0
b3-b4,5,1.07,64544768,0
b2-b3,6,1.05,64397312,0
b3-b4,6,1.07,64393216,0
b2-b3,7,1.05,64471040,0
b3-b4,7,1.06,64368640,0
