metric	stage	role	baseline_median	maximum_observation	ratio	maximum	status
build_elapsed	b2-b3	baseline	2.15	2.36	1.097674	2.0	pass
build_peak_rss	b2-b3	baseline	41320448	41566208	1.005948	2.0	pass
build_elapsed	b2-b3	candidate	2.15	2.37	1.102326	2.0	pass
build_peak_rss	b2-b3	candidate	41320448	41402368	1.001983	2.0	pass
build_elapsed	b3-b4	baseline	2.18	2.42	1.110092	2.0	pass
build_peak_rss	b3-b4	baseline	41287680	41369600	1.001984	2.0	pass
build_elapsed	b3-b4	candidate	2.18	2.30	1.055046	2.0	pass
build_peak_rss	b3-b4	candidate	41287680	41320448	1.000794	2.0	pass
