metric	stage	baseline	candidate	candidate_baseline_ratio	maximum	status
compiler_bytes	fixed-point	349224	332712	0.952718	1.05	pass
build_elapsed	fixed-point-build	2.165000	2.130000	0.983834	1.05	pass
build_peak_rss	fixed-point-build	41304064.000000	41205760.000000	0.997620	1.05	pass
