case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
fannkuch-redux	baseline	11	11	1.08839	1.0866	438272	pass
fannkuch-redux	candidate	11	11	1.08746	1.08542	442368	pass
