case	metric	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
fannkuch-redux	walltime	1.08839	1.08746	0.999146	1.05	pass
fannkuch-redux	cputime	1.0866	1.08542	0.998914	1.05	pass
