metric	stage	role	baseline_median	maximum_observation	ratio	maximum	status
build_elapsed	b2-b3	baseline	1.40	1.60	1.142857	2.0	pass
build_peak_rss	b2-b3	baseline	41140224	41304064	1.003982	2.0	pass
build_elapsed	b2-b3	candidate	1.40	1.46	1.042857	2.0	pass
build_peak_rss	b2-b3	candidate	41140224	41140224	1.000000	2.0	pass
build_elapsed	b3-b4	baseline	1.38	1.48	1.072464	2.0	pass
build_peak_rss	b3-b4	baseline	41189376	41271296	1.001989	2.0	pass
build_elapsed	b3-b4	candidate	1.38	1.38	1.000000	2.0	pass
build_peak_rss	b3-b4	candidate	41189376	41320448	1.003182	2.0	pass
