stage,iteration,elapsed_seconds,peak_rss_bytes
b2-b3,1,1.40,36110336
b3-b4,1,1.40,36241408
b2-b3,2,1.40,36290560
b3-b4,2,1.40,35979264
b2-b3,3,1.40,36061184
b3-b4,3,1.41,36093952
b2-b3,4,1.47,36175872
b3-b4,4,1.40,36241408
b2-b3,5,1.40,36110336
b3-b4,5,1.42,36028416
b2-b3,6,1.40,36077568
b3-b4,6,1.40,36225024
b2-b3,7,1.40,36077568
b3-b4,7,1.44,36093952
