case	lane	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	four-core	typerb-native	11	11	8.32395	8.32118	1212416	pass
spectral-norm	four-core	typerb-go	11	11	5.63691	5.64857	7979008	pass
spectral-norm	four-core	c	11	11	1.78784	1.78565	692224	pass
spectral-norm	four-core	cpp	11	11	1.839	1.83688	688128	pass
spectral-norm	four-core	go	11	11	3.21836	3.22227	4456448	pass
spectral-norm	four-core	rust	11	11	0.460238	1.80144	1970176	pass
spectral-norm	four-core	java	11	11	1.91745	1.88196	52047872	pass
