stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,0.91,64335872,0
b3-b4,1,0.90,64294912,0
b2-b3,2,0.91,64380928,0
b3-b4,2,0.92,64380928,0
b2-b3,3,0.92,64258048,0
b3-b4,3,0.93,64446464,0
b2-b3,4,0.93,64450560,0
b3-b4,4,0.90,64335872,0
b2-b3,5,0.96,64512000,0
b3-b4,5,0.93,64229376,0
b2-b3,6,0.92,64372736,0
b3-b4,6,0.93,64512000,0
b2-b3,7,0.93,64249856,0
b3-b4,7,0.93,64442368,0
