case	lane	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	one-core	typerb-native	11	11	8.32536	8.32194	1216512	pass
spectral-norm	one-core	typerb-go	11	11	5.63768	5.63098	6938624	pass
spectral-norm	one-core	c	11	11	1.78873	1.78589	724992	pass
spectral-norm	one-core	cpp	11	11	1.83991	1.83711	675840	pass
spectral-norm	one-core	go	11	11	3.21947	3.2134	3690496	pass
spectral-norm	one-core	rust	11	11	1.79955	1.79605	1441792	pass
spectral-norm	one-core	java	11	11	1.95723	1.89551	49774592	pass
