metric	stage	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
compiler_text_bytes	strict-shrink	252192	235856	0.935224	1.00	pass
compiler_qbe_bytes	strict-shrink	1122621	1055831	0.940505	1.00	pass
compiler_bytes	fixed-point	315144	298752	0.947986	1.00	pass
compiler_bytes	absolute	317000	298752	0.942435	1.00	pass
