case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
fannkuch-redux	typerb-native	11	11	0.195099	0.055194	78118912	19272	19272	19272	1	true	09ae23032b994f320ce60cb0c5a0b48df263679509d6b4535575a5d016d0f949	pass
fannkuch-redux	typerb-go	11	11	0.45261	0.343156	160092160	2808692	2808692	2808836	11	false		pass
