case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
n-body	typerb-native	11	11	0.223112	0.067188	78278656	22320	22320	22320	1	true	0c595cff7f53223e38db81921acfcda17f7f3db877374780917df45660075cbb	pass
n-body	typerb-go	11	11	0.494295	0.397255	162615296	2815354	2815306	2815362	11	false		pass
