name	artifact_id	archive_bytes	github_sha256
benchmarksgame-build-fannkuch-redux	9883757557	2506011	53bad11a1ae70b688a2304717bffbc73e0cd064c9fc6c3e0b19dee428d4de38e
benchmarksgame-build-n-body	9883758026	2519952	1242ea79059cc48158bea22933737d81f50bbd7278baca280c9b0f4bf1ca9993
benchmarksgame-build-spectral-norm	9883761125	2507542	9e57835626534d1e4b03af747d979e6ffd6c154d6b89fcde6d376c0f209d9b75
