case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
spectral-norm	typerb-native	11	11	0.218023	0.057494	78049280	19552	19552	19552	1	true	390ecd6af0e251a563203920dfc04598cd4269f45f0a0ccf16c3586dc47e3c8b	pass
spectral-norm	typerb-go	11	11	0.593057	0.374197	160260096	2809882	2809850	2809882	11	false		pass
