metric	stage	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
compiler_bytes	fixed-point	254696	254872	1.000691	1.01	pass
compiler_bytes	absolute	255000	254872	0.999498	1.00	pass
build_walltime	b2-b3	0.96	1.00	1.041667	1.05	pass
build_cputime	b2-b3	0.96	0.99	1.031250	1.05	pass
build_peak_rss	b2-b3	64364544	64253952	0.998282	1.05	pass
build_walltime	b3-b4	0.96	0.99	1.031250	1.05	pass
build_cputime	b3-b4	0.96	0.99	1.031250	1.05	pass
build_peak_rss	b3-b4	64450560	64356352	0.998538	1.05	pass
