stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,1.02,64466944,0
b3-b4,1,1.02,64356352,0
b2-b3,2,1.02,64380928,0
b3-b4,2,1.03,64249856,0
b2-b3,3,1.02,64380928,0
b3-b4,3,1.02,64491520,0
b2-b3,4,1.02,64372736,0
b3-b4,4,1.02,64385024,0
b2-b3,5,1.02,64380928,0
b3-b4,5,1.02,64241664,0
b2-b3,6,1.08,64471040,0
b3-b4,6,1.06,64380928,0
b2-b3,7,1.05,64385024,0
b3-b4,7,1.03,64249856,0
