metric	stage	baseline	candidate	candidate_baseline_ratio	maximum	status
compiler_bytes	fixed-point	313224	315256	1.006487	1.05	pass
build_elapsed	fixed-point-build	1.135000	1.150000	1.013216	1.05	pass
build_peak_rss	fixed-point-build	64493568.000000	64497664.000000	1.000064	1.05	pass
