metric	stage	role	baseline_median	maximum_observation	ratio	maximum	status
build_elapsed	b2-b3	baseline	1.14	1.16	1.017544	2.0	pass
build_peak_rss	b2-b3	baseline	64503808	64692224	1.002921	2.0	pass
build_elapsed	b2-b3	candidate	1.14	1.17	1.026316	2.0	pass
build_peak_rss	b2-b3	candidate	64503808	64573440	1.001080	2.0	pass
build_elapsed	b3-b4	baseline	1.13	1.16	1.026549	2.0	pass
build_peak_rss	b3-b4	baseline	64491520	64622592	1.002032	2.0	pass
build_elapsed	b3-b4	candidate	1.13	1.17	1.035398	2.0	pass
build_peak_rss	b3-b4	candidate	64491520	64733184	1.003747	2.0	pass
